Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestRail Check,Chrome 102.0.5005.63,,,2022-06-12 23:50:11,2022-06-12 23:51:23,1m - 12.065s,ERROR
,,,,,,,
Test Cases/Login,Chrome 102.0.5005.63,Verify if user is able to login with valid credentials,,2022-06-12 23:50:12,2022-06-12 23:51:22,1m - 10.693s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-12 23:50:12,2022-06-12 23:50:16,3.518s,PASSED
"navigateToUrl(""https://auth.koala.hometime.io/login"")",Chrome 102.0.5005.63,,,2022-06-12 23:50:16,2022-06-12 23:50:18,2.320s,PASSED
"setText(findTestObject(""Object Repository/Page_Login  Hometime/input_Email address_email""), ""eunice.barena+mcabi@hometime.io"")",Chrome 102.0.5005.63,,,2022-06-12 23:50:18,2022-06-12 23:51:21,1m - 3.259s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login  Hometime/input_Password_password""), ""cvW8qx4B2o1WegCEDy41Xg=="")",Chrome 102.0.5005.63,,,2022-06-12 23:51:21,2022-06-12 23:51:22,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_Login  Hometime/button_Login""))",Chrome 102.0.5005.63,,,2022-06-12 23:51:22,2022-06-12 23:51:22,0.522s,PASSED
Start listener action : afterTestCase,Chrome 102.0.5005.63,,,2022-06-12 23:51:22,2022-06-12 23:51:22,0.027s,PASSED
,,,,,,,
Test Cases/TestRail_Update_Run_With_Results,Chrome 102.0.5005.63,Testing Testrail Connection,,2022-06-12 23:51:23,2022-06-12 23:51:23,0.028s,ERROR
response = Testrail.get_tests(G_testrail_run_id),Chrome 102.0.5005.63,,,2022-06-12 23:51:23,2022-06-12 23:51:23,0.005s,ERROR
Start listener action : afterTestCase,Chrome 102.0.5005.63,,,2022-06-12 23:51:23,2022-06-12 23:51:23,0.001s,PASSED
